Danceability,Energy,Speechiness,Liveness,Tempo,Duration,Stream
0.774,0.838,0.114,0.242,143.04,198800,893129259
0.788,0.844,0.0334,0.0723,113.324,251240,424168867
0.759,0.699,0.0307,0.443,92.96,211067,588819207
0.751,0.834,0.0437,0.355,95.053,211160,581869840
0.669,0.843,0.0268,0.195,147.08,255400,260444233
0.724,0.695,0.0622,0.0889,139,224400,423188557
0.791,0.733,0.052,0.0713,114.98,192360,262573012
0.696,0.734,0.0298,0.183,107.987,225080,187278764
0.717,0.587,0.0339,0.0523,129.954,216520,145511234
0.762,0.766,0.0343,0.128,130.001,287120,1174282383
0.813,0.56,0.0618,0.268,118.033,286041,628424773
0.817,0.672,0.299,0.13,93.999,332240,396374422
0.879,0.703,0.0701,0.0569,94.004,199711,569523901
0.826,0.764,0.0522,0.161,126.9,237627,1048932845
0.522,0.697,0.103,0.319,169.775,193959,529555988
0.578,0.634,0.333,0.132,183.89,211652,290126900
0.756,0.689,0.0648,0.0586,162.006,213312,195678858
0.591,0.785,0.161,0.126,106.002,217547,89466323
0.788,0.814,0.217,0.208,97.982,202098,13182610
0.376,0.43,0.0328,0.0912,77.599,177323,528853212
0.672,0.322,0.0339,0.074,113.852,201680,266083896
0.274,0.144,0.0482,0.29,61.551,195493,205824087
0.477,0.6,0.0324,0.112,152.062,229813,121359658
0.511,0.475,0.161,0.105,98.957,195147,233844328
0.474,0.82,0.243,0.0978,164.718,140573,101142300
0.684,0.481,0.0391,0.157,121.208,140227,193227242
0.273,0.227,0.0351,0.102,129.272,160307,244111564
0.435,0.391,0.162,0.0885,73.531,224920,117809204
0.555,0.692,0.0277,0.232,88.995,222360,147021007
0.733,0.69,0.0427,0.105,116.992,184613,646937556
0.526,0.606,0.259,0.194,116.622,182667,139674263
0.696,0.454,0.153,0.155,92.928,260640,866702211
0.734,0.846,0.0489,0.235,98.026,209884,381634599
0.755,0.578,0.145,0.25,94.148,176960,581510489
0.672,0.82,0.0459,0.184,120.005,278573,349456576
0.58,0.66,0.0429,0.174,123.801,266307,92083585
0.62,0.62,0.0375,0.129,144.835,148751,36852704
0.828,0.726,0.0419,0.103,113.017,212976,44683570
0.662,0.693,0.0698,0.145,86.009,252120,327435679
0.645,0.534,0.0479,0.0863,105.02,226467,208337920
0.607,0.735,0.095,0.11,88.894,151967,44638153
0.546,0.529,0.0583,0.124,107.331,237787,379059402
0.929,0.7,0.0906,0.349,120.009,132024,273237961
0.904,0.723,0.26,0.185,145.013,227478,638746688
0.676,0.659,0.0476,0.283,134.985,193994,53989958
0.383,0.531,0.0741,0.108,105.971,293307,76686049
0.464,0.547,0.339,0.155,67.003,221492,256262137
0.744,0.448,0.291,0.194,118.027,133521,17960938
0.53,0.517,0.399,0.176,137.554,326813,48972127
0.336,0.627,0.0384,0.0708,150.273,241107,1437977604
0.561,0.782,0.0317,0.109,127.148,153240,226569574
0.669,0.727,0.0353,0.123,102.322,243493,257187137
0.65,0.531,0.0364,0.249,78.946,258133,301955185
0.837,0.462,0.0601,0.09,139.986,201400,431793600
0.648,0.759,0.306,0.648,85.996,324307,227592322
0.576,0.526,0.0325,0.0548,122.06,213667,194107435
0.742,0.468,0.0625,0.826,86.443,242200,231493779
0.501,0.378,0.029,0.119,119.987,257733,218020440
0.368,0.505,0.0285,0.154,173.977,266933,102088157
0.715,0.654,0.336,0.0667,175.589,245366,41725242
0.717,0.416,0.0303,0.0976,100.026,213632,91092219
0.815,0.761,0.144,0.0272,121.999,200219,78684300
0.563,0.495,0.0362,0.0837,125.998,291462,85746449
0.673,0.714,0.039,0.0858,112.941,254653,52826792
0.7,0.343,0.0308,0.0789,137.864,315173,64456952
0.687,0.637,0.13,0.291,152,290526,33410129
0.261,0.603,0.0367,0.184,158.125,352711,37409758
0.362,0.378,0.0329,0.091,87.549,470500,73834235
0.744,0.7,0.0375,0.068,144.033,309640,47727856
0.577,0.574,0.0278,0.1,94.009,268165,237685270
0.483,0.468,0.0341,0.152,135.875,247941,196665486
0.59,0.555,0.0271,0.192,84.027,223460,106694938
0.609,0.538,0.0273,0.125,130.015,321225,105143682
0.534,0.481,0.0412,0.142,124.914,280282,141640304
0.684,0.771,0.0307,0.112,119.982,299827,79477830
0.539,0.729,0.0412,0.128,112.074,279107,60032339
0.657,0.581,0.0298,0.116,118.037,243578,74341580
0.57,0.55,0.035,0.0921,117.999,311186,114548526
0.857,0.893,0.0422,0.0335,108.022,211667,75285958
0.619,0.429,0.028,0.136,90.058,195253,91740940
0.51,0.502,0.0325,0.0708,133.885,247286,100903028
0.54,0.796,0.0521,0.11,78.99,265063,28781713
0.815,0.761,0.144,0.0272,121.999,200219,78684300
0.52,0.485,0.0269,0.159,143.901,192187,42953279
0.609,0.759,0.0336,0.207,141.126,356942,46214786
0.334,0.3,0.0377,0.195,147.076,101799,25942155
0.533,0.436,0.0276,0.46,146.868,308158,49993575
0.442,0.574,0.0828,0.094,167.857,292747,32957897
0.651,0.482,0.0281,0.0811,106.993,269185,84959335
0.481,0.262,0.0414,0.832,122.861,334744,557368632
0.417,0.934,0.119,0.132,127.066,210240,949503301
0.413,0.873,0.0536,0.204,116.68,218933,628447295
0.47,0.796,0.0336,0.133,113.108,167907,347276552
0.364,0.922,0.0567,0.0697,79.342,235053,340999078
0.538,0.981,0.14,0.219,101.414,255467,441264205
0.451,0.889,0.261,0.258,131.073,153800,181343293
0.459,0.958,0.0877,0.108,142.707,211333,146971757
0.274,0.92,0.0489,0.115,154.016,189440,184400222
0.46,0.54,0.0381,0.326,137.855,215440,90938235
0.493,0.974,0.135,0.182,99.647,201160,101333051
0.442,0.943,0.0602,0.091,85.064,181533,778937392
0.38,0.988,0.0639,0.368,186.113,176346,706697133
0.475,0.432,0.0302,0.161,94.605,153467,493904399
0.546,0.814,0.0314,0.0972,104.98,285653,572329705
0.496,0.682,0.0294,0.0589,167.06,262333,551065028
0.531,0.909,0.034,0.231,97.546,178000,373991248
0.268,0.742,0.0355,0.626,159.779,321093,470768474
0.552,0.89,0.0342,0.888,146.525,232680,215950182
0.29,0.827,0.0362,0.301,167.086,493400,352299012
0.559,0.543,0.302,0.0577,75.958,193000,137134525
0.447,0.449,0.0376,0.0697,92.468,315427,304049897
0.191,0.0582,0.0578,0.0941,132.614,357707,312614767
0.231,0.0297,0.0579,0.0742,131.413,203800,177586576
